run,classname,last,count,delta,lenmean,lensd,lenmax
8,Proc,456,455,-1,,,
8,Bignum,14,20,6,,,
8,String,44292,44707,415,30.447782,474.313926,57728.000000
8,Hash,259,258,-1,18.810078,60.916914,519.000000
9,Array,2010,2025,15,9.242963,43.275227,510.000000
9,Bignum,20,32,12,,,
9,Hash,256,260,4,18.707692,60.726165,519.000000
11,Float,253415,105302,-148113,,,
11,String,44707,44295,-412,29.559747,476.416455,57728.000000
11,Array,2025,2059,34,8.844099,42.828556,510.000000
11,Proc,455,469,14,,,
11,Time,160,135,-25,,,
11,Mongrel::Stats,72,38,-34,,,
11,YAML::Syck::Scalar,0,24,24,,,
11,StringIO,18,15,-3,3875.266667,14898.048992,57728.000000
11,Bignum,32,14,-18,,,
11,Float,253415,115133,-138282,,,
12,Float,105302,91303,-13999,,,
12,Float,105302,53533,-51769,,,
12,String,44295,44279,-16,29.634861,476.514319,57728.000000
12,String,44295,44254,-41,29.587924,476.643527,57728.000000
12,String,44295,44127,-168,29.341854,477.303125,57728.000000
12,Array,2059,2002,-57,9.080420,43.413347,510.000000
12,Array,2059,2000,-59,9.140500,43.507691,510.000000
12,Array,2059,2605,546,7.439539,38.229126,510.000000
12,Proc,469,457,-12,,,
12,Proc,469,457,-12,,,
12,Proc,469,457,-12,,,
12,Hash,260,258,-2,18.833333,60.995944,519.000000
12,Hash,260,258,-2,18.844961,61.013675,519.000000
12,Hash,260,256,-4,18.980469,61.254048,519.000000
12,Time,135,155,20,,,
12,Time,135,160,25,,,
12,Time,135,166,31,,,
12,Mongrel::Stats,38,64,26,,,
12,Mongrel::Stats,38,70,32,,,
12,Mongrel::Stats,38,75,37,,,
12,Bignum,14,32,18,,,
12,Bignum,14,38,24,,,
12,Bignum,14,32,18,,,
15,Float,53533,145718,92185,,,
15,String,44127,45309,1182,29.793529,471.242219,57728.000000
15,Array,2605,4827,2222,4.805676,28.412339,510.000000
15,Regexp,1142,1144,2,,,
15,Proc,457,599,142,,,
15,Hash,256,284,28,18.035211,58.778787,519.000000
15,Time,166,221,55,,,
15,Range,169,171,2,,,
15,YAML::Syck::Scalar,24,162,138,,,
15,Mongrel::Stats,75,94,19,,,
15,Bignum,32,37,5,,,
15,StringIO,15,18,3,3251.555556,13595.752504,57728.000000
15,Thread,10,13,3,,,
15,TCPSocket,7,11,4,,,
16,Float,145718,297184,151466,,,
16,String,45309,46117,808,30.108398,467.272475,57728.000000
16,Array,4827,6154,1327,4.110335,25.266324,510.000000
16,Regexp,1144,1147,3,,,
16,Proc,599,698,99,,,
16,Hash,284,305,21,17.488525,57.128842,519.000000
16,Time,221,261,40,,,
16,YAML::Syck::Scalar,162,258,96,,,
16,Range,171,174,3,,,
16,Mongrel::Stats,94,113,19,,,
16,Bignum,37,55,18,,,
16,StringIO,18,21,3,2800.380952,12585.760567,57728.000000
16,Thread,13,14,1,,,
16,TCPSocket,11,13,2,,,
16,File,10,12,2,,,
17,Float,297184,315128,17944,,,
17,String,46117,44577,-1540,29.898647,475.482296,57728.000000
17,Float,297184,328021,30837,,,
17,Array,6154,2146,-4008,8.778192,42.240969,510.000000
17,String,46117,44645,-1472,30.026386,475.132804,57728.000000
17,Regexp,1147,1142,-5,,,
17,Array,6154,2150,-4004,8.792558,42.208624,510.000000
17,Class,985,987,2,,,
17,Regexp,1147,1142,-5,,,
17,Proc,698,457,-241,,,
17,Class,985,987,2,,,
17,Module,379,384,5,,,
17,Proc,698,457,-241,,,
17,Float,297184,338003,40819,,,
17,Hash,305,275,-30,17.320000,58.771668,519.000000
17,Module,379,384,5,,,
17,String,46117,44647,-1470,30.025310,475.122189,57728.000000
17,Range,174,169,-5,,,
17,Hash,305,275,-30,17.414545,58.877230,519.000000
17,Array,6154,2151,-4003,8.788935,42.199141,510.000000
17,Time,261,157,-104,,,
17,Range,174,169,-5,,,
17,Regexp,1147,1142,-5,,,
17,Mongrel::Stats,113,70,-43,,,
17,Time,261,161,-100,,,
17,Class,985,987,2,,,
